normal_period,region_name,month,variable,variable_label,unit,normal_value,p33_33,p66_67,lower_tercile,middle_tercile,upper_tercile
1991-2020,남부지역,10,precip,강수량,mm,65.1761,34.0775,69.4256,< 34.0775 (적음),34.0775 - 69.4256 (비슷),> 69.4256 (많음)
1991-2020,남부지역,10,tavg,평균기온,degC,14.998,14.5368,15.3295,< 14.5368 (낮음),14.5368 - 15.3295 (비슷),> 15.3295 (높음)
1991-2020,남부지역,11,precip,강수량,mm,46.1367,25.2488,52.7857,< 25.2488 (적음),25.2488 - 52.7857 (비슷),> 52.7857 (많음)
1991-2020,남부지역,11,tavg,평균기온,degC,8.5597,7.7508,9.2635,< 7.7508 (낮음),7.7508 - 9.2635 (비슷),> 9.2635 (높음)
1991-2020,남부지역,12,precip,강수량,mm,28.8679,18.6338,31.9959,< 18.6338 (적음),18.6338 - 31.9959 (비슷),> 31.9959 (많음)
1991-2020,남부지역,12,tavg,평균기온,degC,2.3591,1.9237,3.1918,< 1.9237 (낮음),1.9237 - 3.1918 (비슷),> 3.1918 (높음)
1991-2020,남한,1,precip,강수량,mm,26.2696,17.3243,26.8037,< 17.3243 (적음),17.3243 - 26.8037 (비슷),> 26.8037 (많음)
1991-2020,남한,1,tavg,평균기온,degC,-0.9628,-1.4376,-0.427,< -1.4376 (낮음),-1.4376 - -0.427 (비슷),> -0.427 (높음)
1991-2020,남한,2,precip,강수량,mm,35.6497,27.5142,44.851,< 27.5142 (적음),27.5142 - 44.851 (비슷),> 44.851 (많음)
1991-2020,남한,2,tavg,평균기온,degC,1.2239,0.8107,1.8416,< 0.8107 (낮음),0.8107 - 1.8416 (비슷),> 1.8416 (높음)
1991-2020,남한,3,precip,강수량,mm,56.5234,42.684,58.5113,< 42.684 (적음),42.684 - 58.5113 (비슷),> 58.5113 (많음)
1991-2020,남한,3,tavg,평균기온,degC,6.1021,5.6712,6.6061,< 5.6712 (낮음),5.6712 - 6.6061 (비슷),> 6.6061 (높음)
1991-2020,남한,4,precip,강수량,mm,89.7122,70.3008,99.3121,< 70.3008 (적음),70.3008 - 99.3121 (비슷),> 99.3121 (많음)
1991-2020,남한,4,tavg,평균기온,degC,12.0788,11.6241,12.5708,< 11.6241 (낮음),11.6241 - 12.5708 (비슷),> 12.5708 (높음)
1991-2020,남한,5,precip,강수량,mm,102.1351,79.2676,125.4913,< 79.2676 (적음),79.2676 - 125.4913 (비슷),> 125.4913 (많음)
1991-2020,남한,5,tavg,평균기온,degC,17.337,16.8928,17.6548,< 16.8928 (낮음),16.8928 - 17.6548 (비슷),> 17.6548 (높음)
1991-2020,남한,6,precip,강수량,mm,148.1786,101.6165,174.0238,< 101.6165 (적음),101.6165 - 174.0238 (비슷),> 174.0238 (많음)
1991-2020,남한,6,tavg,평균기온,degC,21.3972,21.1659,21.6764,< 21.1659 (낮음),21.1659 - 21.6764 (비슷),> 21.6764 (높음)
1991-2020,남한,7,precip,강수량,mm,296.4024,245.9545,308.5001,< 245.9545 (적음),245.9545 - 308.5001 (비슷),> 308.5001 (많음)
1991-2020,남한,7,tavg,평균기온,degC,24.5861,24.1419,25.0963,< 24.1419 (낮음),24.1419 - 25.0963 (비슷),> 25.0963 (높음)
1991-2020,남한,8,precip,강수량,mm,282.6171,225.3039,346.6567,< 225.3039 (적음),225.3039 - 346.6567 (비슷),> 346.6567 (많음)
1991-2020,남한,8,tavg,평균기온,degC,25.1363,24.7728,25.8972,< 24.7728 (낮음),24.7728 - 25.8972 (비슷),> 25.8972 (높음)
1991-2020,남한,9,precip,강수량,mm,155.0033,84.1363,202.0206,< 84.1363 (적음),84.1363 - 202.0206 (비슷),> 202.0206 (많음)
1991-2020,남한,9,tavg,평균기온,degC,20.4758,20.1519,20.7197,< 20.1519 (낮음),20.1519 - 20.7197 (비슷),> 20.7197 (높음)
1991-2020,남한,10,precip,강수량,mm,62.9459,36.9449,64.276,< 36.9449 (적음),36.9449 - 64.276 (비슷),> 64.276 (많음)
1991-2020,남한,10,tavg,평균기온,degC,14.2543,13.8522,14.6832,< 13.8522 (낮음),13.8522 - 14.6832 (비슷),> 14.6832 (높음)
1991-2020,남한,11,precip,강수량,mm,48.0233,30.6577,55.1536,< 30.6577 (적음),30.6577 - 55.1536 (비슷),> 55.1536 (많음)
1991-2020,남한,11,tavg,평균기온,degC,7.5979,6.7298,8.4373,< 6.7298 (낮음),6.7298 - 8.4373 (비슷),> 8.4373 (높음)
1991-2020,남한,12,precip,강수량,mm,27.9682,19.7769,28.6197,< 19.7769 (적음),19.7769 - 28.6197 (비슷),> 28.6197 (많음)
1991-2020,남한,12,tavg,평균기온,degC,1.1272,0.7018,1.9424,< 0.7018 (낮음),0.7018 - 1.9424 (비슷),> 1.9424 (높음)
1991-2020,대구-경상북도,1,precip,강수량,mm,24.6767,15.2599,26.9922,< 15.2599 (적음),15.2599 - 26.9922 (비슷),> 26.9922 (많음)
1991-2020,대구-경상북도,1,tavg,평균기온,degC,-0.7629,-1.342,-0.0435,< -1.342 (낮음),-1.342 - -0.0435 (비슷),> -0.0435 (높음)
1991-2020,대구-경상북도,2,precip,강수량,mm,28.6673,17.518,32.387,< 17.518 (적음),17.518 - 32.387 (비슷),> 32.387 (많음)
